claim_id,status,linked_cards,theme,atomic_claim,claim_type,jurisdiction,valid_at,source_owner,source_title,source_url,source_date,locator,counter_source_url,affected_parties,uncertainty,editor_decision,last_verified
RSRCH-001,source_identified,"family-law-001|family-law-004|family-law-005|family-law-006|family-law-007",family_law,"離婚後の子の養育に関する制度は2026年施行の改正を含むため、旧制度前提で説明してはならない。",law,Japan,2026-08-27,法務省,"離婚後の子の養育に関する改正",https://www.moj.go.jp/MINJI/minji07_00357.html,,,https://www.courts.go.jp/saiban/syurui/syurui_kazi/kazi_07_07/index.html,"子ども、父母、DV・虐待被害者、裁判所、支援者","施行・運用の詳細は原典と裁判所資料を都度確認する",hold,2026-08-27
RSRCH-002,source_verified,technology-004,"AI_and_copyright","公開されている作品であることと、AI学習・生成利用が常に許されることは同義ではない。",law_and_policy,Japan,2026-08-27,文化庁,"AIと著作権について",https://www.bunka.go.jp/seisaku/chosakuken/aiandcopyright.html,2024-03-15,"AIと著作権に関する考え方・関連資料",,"権利者、開発者、利用者、創作者、プラットフォーム","文化庁資料は判例・契約・個別事案の最終判断を置き換えない",hold,2026-08-27
RSRCH-003,source_identified,"disability-003|disability-004|disability-005",disability,"合理的配慮の実施は、本人の要求だけでなく制度・環境・過重な負担の判断を含む。",law_and_policy,Japan,2026-08-27,内閣府,"障害者差別解消法",https://www8.cao.go.jp/shougai/suishin/sabekai.html,,,,"障害当事者、同級生、学校、雇用者、行政","個別事例の過重な負担は一律に決められない",hold,2026-08-27
RSRCH-004,source_identified,"medicine-002|reproductive-health-004|disability-008|disability-009",reproductive_health,"出生前検査・生殖医療は、検査精度、確定診断、相談体制、費用、当事者の意思決定を分けて扱う必要がある。",medical_and_policy,Japan,2026-08-27,厚生労働省,"出生前検査の種類",https://www.mhlw.go.jp/content/000783387.pdf,,,,"妊娠する人、子ども、家族、障害当事者、医療者","個別の医学的助言として扱わない",hold,2026-08-27
RSRCH-005,source_identified,"mental-health-001|youth-pregnancy-*|children-*",mental_health_and_child_protection,"危機時の相談先は対象、緊急度、匿名性、受付方法によって異なり、一般的な解説と区別して確認する必要がある。",support_service,Japan,2026-08-27,厚生労働省,"まもろうよ こころ",https://www.mhlw.go.jp/mamorouyokokoro/soudan/,,,https://www.cfa.go.jp/policies/jidougyakutai/gyakutai-taiou-dial/,"子ども、若者、家族、友人、学校、支援機関","窓口の受付方法とURLは公開直前に再確認する",hold,2026-08-27
RSRCH-006,source_identified,"technology-001|technology-007|education-005",data_privacy,"顔識別機能、位置情報、個人情報の扱いは、目的、保存、第三者提供、誤認、本人説明を分けて確認する必要がある。",law_and_policy,Japan,2026-08-27,個人情報保護委員会,"個人情報保護法等",https://www.ppc.go.jp/personalinfo/,,,https://www.ppc.go.jp/news/camera_related/,"撮影対象者、子ども、利用者、運用者、第三者","個別サービスの規約と法律を混同しない",hold,2026-08-27
RSRCH-007,source_identified,"health-policy-001",public_health,"予防接種を扱う際は、公衆衛生上の目的、個別事情、接種制度、健康被害救済を分けて確認する必要がある。",health_policy,Japan,2026-08-27,厚生労働省,"予防接種健康被害救済制度",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/vaccine_kenkouhigaikyuusai.html,,,,"本人、保護者、学校、医療者、自治体","学校の運用は地域・校種により異なる",hold,2026-08-27
RSRCH-008,source_identified,"elderly-001|elderly-002|elderly-003|elderly-004|elderly-005|elderly-006|elderly-007|elderly-008|elderly-009|elderly-010",elderly_and_care,"認知症・高齢者支援では、本人意思、家族負担、虐待防止、地域支援、消費者被害を分けて確認する必要がある。",support_policy,Japan,2026-08-27,厚生労働省,"認知症の意思決定支援",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000212395.html,,,https://www.caa.go.jp/policies/application/inquiry/,"高齢者、家族、介護者、地域包括支援センター、自治体","地域資源と相談窓口は地域差・更新がある",hold,2026-08-27
RSRCH-009,planned,"economy-*|work-*|workplace-*|finance-*",economy_labor_housing,"住宅、雇用、賃金、社会保障の将来追加は、分母・年度・地域・世帯類型を記録してから論点化する。",statistics,Japan,2026-08-27,総務省統計局,"労働力調査",https://www.stat.go.jp/data/roudou/index.html,,,https://www.stat.go.jp/data/jyutaku/index.html,"労働者、雇用者、借家人、持家世帯、自治体、納税者","定義・対象期間の違いが大きい",planned,2026-08-27
RSRCH-010,planned,"environment-*|disaster-*",climate_energy_food_disaster,"気候、エネルギー、食料、防災の将来追加は、観測、推計、政策目標、地域リスクを分けて記録する。",statistics_and_policy,Japan,2026-08-27,気象庁,"気候変動監視",https://www.data.jma.go.jp/cpdinfo/monitor/,,,https://www.bousai.go.jp/kaigirep/hakusho/,"住民、農家、エネルギー利用者、自治体、将来世代","将来予測を現在の観測事実として扱わない",planned,2026-08-27
